ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677301.8326100: control=23936 audio=1431 late=0 nonSeq=0
677302.2349300: control=24170 audio=1523 late=0 nonSeq=0
677303.9327900: control=23969 audio=1702 late=0 nonSeq=0
677304.12408500: control=23871 audio=1148 late=0 nonSeq=0
677305.12845400: control=24591 audio=1232 late=0 nonSeq=0
677306.9332000: control=23922 audio=1199 late=0 nonSeq=0
677307.15895000: control=23517 audio=1288 late=0 nonSeq=0
677308.10917100: control=23813 audio=1296 late=0 nonSeq=0
677309.13336500: control=23575 audio=1104 late=0 nonSeq=0
677310.2386300: control=24372 audio=1324 late=0 nonSeq=0
677311.1396800: control=23621 audio=1175 late=0 nonSeq=0
677312.14391600: control=23954 audio=1135 late=0 nonSeq=0
677313.852100: control=31837 audio=1477 late=0 nonSeq=0
677314.2344600: control=21155 audio=1376 late=0 nonSeq=0
677315.8872000: control=21126 audio=1338 late=0 nonSeq=0
677316.5846600: control=24056 audio=1348 late=0 nonSeq=0
677317.5415400: control=23874 audio=1301 late=0 nonSeq=0
677318.12306900: control=25145 audio=1200 late=0 nonSeq=0
677319.14326700: control=24005 audio=1657 late=0 nonSeq=0
677320.6965300: control=23471 audio=1347 late=0 nonSeq=0
677321.16397600: control=23768 audio=1451 late=0 nonSeq=0
677322.15896400: control=23472 audio=1196 late=0 nonSeq=0
677323.1852700: control=21254 audio=1683 late=0 nonSeq=0
677324.18884900: control=25444 audio=1105 late=0 nonSeq=0
677325.7849600: control=23481 audio=1742 late=0 nonSeq=0
677326.8876100: control=23770 audio=1552 late=0 nonSeq=0
677327.6368900: control=24924 audio=1584 late=0 nonSeq=0
677328.2823200: control=24128 audio=1174 late=0 nonSeq=0
677329.19825600: control=24006 audio=1513 late=0 nonSeq=0
677330.18876500: control=23912 audio=1335 late=0 nonSeq=0
677331.10390600: control=23739 audio=1437 late=0 nonSeq=0
677332.15838200: control=23640 audio=1748 late=0 nonSeq=0
677333.15363500: control=23486 audio=1376 late=0 nonSeq=0
677334.8865900: control=23925 audio=1519 late=0 nonSeq=0
677335.9338900: control=23758 audio=1257 late=0 nonSeq=0
